Date,Quarter,Year,AveragePrice,Total_vol,Small_vol,Large_vol,XLarge_vol,Type
9/20/2015,Q3,2015,1.02,29569086.56,9422275.27,13846044.56,1112405.42,conventional
9/13/2015,Q3,2015,1.03,31245835.65,9875018.48,14888077.69,1118988.92,conventional
9/6/2015,Q3,2015,1.02,33526480.08,12569277.14,14245598.38,1129771.19,conventional
9/25/2016,Q3,2016,1.22,30305112.89,10548061.13,9255913.78,492604.3,conventional
9/18/2016,Q3,2016,1.15,31346091.46,11337829.1,9481313.14,486187.39,conventional
9/11/2016,Q3,2016,1.08,34126730.95,12962762.94,10380438.09,512160.27,conventional
9/4/2016,Q3,2016,1.04,37130688.91,14643465.52,11083513.46,540680.89,conventional
9/24/2017,Q3,2017,1.62,24637148.38,8652381.39,8295761.93,385004.72,conventional
9/17/2017,Q3,2017,1.57,25394902.82,9153158.54,8328241.87,417270.7,conventional
9/10/2017,Q3,2017,1.56,26385081.36,9496485.27,8373234.08,487926.52,conventional
9/3/2017,Q3,2017,1.57,26808410.65,9775062.87,8565265.61,541902.88,conventional
9/27/2015,Q3,2015,1.75,501814.87,114590.38,238175.26,4546.66,organic
9/20/2015,Q3,2015,1.77,515240.82,126318.13,244950.88,4880.83,organic
9/13/2015,Q3,2015,1.8,552059.64,133928.36,251786.63,5154.23,organic
9/6/2015,Q3,2015,1.78,593797.17,132181.77,271784.99,5890.57,organic
9/25/2016,Q3,2016,1.69,808891.94,119993.58,272553.74,4407.75,organic
9/18/2016,Q3,2016,1.67,871627.58,127014.67,266648.5,4597.27,organic
9/11/2016,Q3,2016,1.52,1103488.85,144991.21,334671.53,3481.85,organic
9/4/2016,Q3,2016,1.54,1052088.77,137842.79,344378.75,4653.04,organic
9/24/2017,Q3,2017,1.94,1125443.38,116338.61,237876.77,1182.85,organic
9/17/2017,Q3,2017,2,1074567.7,140979.17,243233.57,891.6,organic
9/10/2017,Q3,2017,2.03,1093955.66,114942.21,249231.14,940.89,organic
9/3/2017,Q3,2017,2.06,1075538.53,113516,256920.07,2256.96,organic
8/30/2015,Q3,2015,1.07,29761638.48,11650976.87,11995960.83,1060352.53,conventional
8/23/2015,Q3,2015,1.08,29699845.61,11283021.31,12551529.7,909284.22,conventional
8/16/2015,Q3,2015,1.05,31936856.18,12680252.48,12998327.25,1143364.58,conventional
8/9/2015,Q3,2015,1.05,33254911.87,13003371.07,13926692.62,1014520.88,conventional
8/2/2015,Q3,2015,1.09,30358467.88,12115233.76,12219014.12,984702.75,conventional
8/28/2016,Q3,2016,1.09,33993931.31,12561055.5,10420973,563738.54,conventional
8/21/2016,Q3,2016,1.1,33592097.72,12725249.3,9906498.51,609720.87,conventional
8/14/2016,Q3,2016,1.12,34386177.3,12352932.68,10879341.61,749247.02,conventional
8/7/2016,Q3,2016,1.15,33819909.09,12197105.36,10731379.56,754548.53,conventional
8/27/2017,Q3,2017,1.47,28785279.75,10735709.61,8587105.6,517541.94,conventional
8/20/2017,Q3,2017,1.41,29913744.37,10507928.78,8837219.28,581074.35,conventional
8/13/2017,Q3,2017,1.33,32817254.13,10952703.84,11154310.29,624963.41,conventional
8/6/2017,Q3,2017,1.33,32529920.23,11292580.44,10988313.58,665312.55,conventional
8/30/2015,Q3,2015,1.66,670005.94,150924.97,325442.96,5569.76,organic
8/23/2015,Q3,2015,1.72,666276.26,176723.74,298092.6,5985.12,organic
8/16/2015,Q3,2015,1.75,644689.71,150876.8,310229.77,6215.26,organic
8/9/2015,Q3,2015,1,625259,170184,269330,6905,organic
8/2/2015,Q3,2015,1,573873,164126,263359,5115,organic
8/28/2016,Q3,2016,1.49,948530.88,135742.77,316907.28,5110.77,organic
8/21/2016,Q3,2016,1.51,1033169.7,177591.96,308314.91,5831.02,organic
8/14/2016,Q3,2016,1.48,1093287.79,186697.3,341463.72,10231.17,organic
8/7/2016,Q3,2016,1.55,1012237.01,151179.99,332421.63,10707.18,organic
8/27/2017,Q3,2017,2.09,1045992.02,112812.39,250861.84,2119.14,organic
8/20/2017,Q3,2017,1.96,1071538.25,108658.66,262747.8,1154.19,organic
8/13/2017,Q3,2017,1.88,1014709.07,98007.24,230106.14,1414.21,organic
8/6/2017,Q3,2017,1.83,1059971.14,112592.04,236015.15,1552.51,organic
7/26/2015,Q3,2015,1.07,30652211.08,12196225.93,12009228.05,1017157.74,conventional
7/19/2015,Q3,2015,1.07,32324647.66,12742760.17,12605457.17,1154897.34,conventional
7/12/2015,Q3,2015,1.07,31660031.68,12384449.4,12403360.2,980361.75,conventional
7/5/2015,Q3,2015,1.04,37943670.34,15643939.37,14213650.06,1342465.95,conventional
7/31/2016,Q3,2016,1.23,31201590.22,10168972.37,10423957.83,783937.09,conventional
7/24/2016,Q3,2016,1.2,32339377.09,10331314.28,10795751.15,947964.05,conventional
7/17/2016,Q3,2016,1.15,32656123.63,10320463.27,10628872.6,953631.47,conventional
7/10/2016,Q3,2016,1.1,35567568.43,11457080.38,11677528,1266433.97,conventional
7/3/2016,Q3,2016,1.06,39993186.04,12508937.27,13315901.42,1761343.08,conventional
7/30/2017,Q3,2017,1.32,31756097.22,11112191.11,11088082.78,596676.12,conventional
7/23/2017,Q3,2017,1.31,32608301.51,11391055.98,11339580.43,612242.37,conventional
7/16/2017,Q3,2017,1.33,32455047.11,11155465.9,11202844.97,756103.12,conventional
7/9/2017,Q3,2017,1.17,39367336.18,13009944.14,11031218.25,821964.42,conventional
7/2/2017,Q3,2017,1.21,38010426.16,12623188.5,10988734.57,859889.81,conventional
7/26/2015,Q3,2015,1,580826,169940,266249,4391,organic
7/19/2015,Q3,2015,1,650389,159752,317728,4758,organic
7/12/2015,Q3,2015,1,608845,178871,267353,5093,organic
7/5/2015,Q3,2015,1,668233,205073,304597,6251,organic
7/31/2016,Q3,2016,1.58,946087.81,156417.33,328942.12,9035.27,organic
7/24/2016,Q3,2016,1.65,919489.84,159151.31,343780.56,8612.44,organic
7/17/2016,Q3,2016,1.63,1018118.27,152828.51,359772.18,9957.61,organic
7/10/2016,Q3,2016,1.51,1043428.53,152994.7,355101.22,12180.53,organic
7/3/2016,Q3,2016,1.47,1073595.37,159903,381527.15,11897.11,organic
7/30/2017,Q3,2017,1.78,1091590.78,100332.24,270534.58,2135.74,organic
7/23/2017,Q3,2017,1.76,1214158.19,113467.66,317184.04,3700.92,organic
7/16/2017,Q3,2017,1.78,1148354.84,94267.55,311432.79,4766.71,organic
7/9/2017,Q3,2017,1.71,1130374.7,109023.66,333458.24,3424.69,organic
7/2/2017,Q3,2017,1.74,1173393.06,128156.1,360890.48,3393.83,organic
6/28/2015,Q2,2015,1.06,32408705.7,13299568.71,11505999.24,1045832.54,conventional
6/21/2015,Q2,2015,1.02,35734613.9,14699604.93,13244466.6,1326422.56,conventional
6/14/2015,Q2,2015,0.98,37026085.75,16383685.07,12821015.03,1085081.61,conventional
6/7/2015,Q2,2015,1,36549995.66,16529797.6,12582265.21,1144715.95,conventional
6/26/2016,Q2,2016,1.04,36617023.79,12189035.17,12029918.6,1624942.43,conventional
6/19/2016,Q2,2016,1.02,38489936.14,13488851.61,12842698.33,1642735.63,conventional
6/12/2016,Q2,2016,1.04,35580820,12291686.69,11533969.83,1607344.08,conventional
6/5/2016,Q2,2016,0.97,40231259.65,13808859.16,13396651.73,1770948.09,conventional
6/25/2017,Q2,2017,1.17,37305307.68,12901031.63,10805961.74,655965.98,conventional
6/18/2017,Q2,2017,1.18,38247669.33,12975373.48,11199448.6,807107.21,conventional
6/11/2017,Q2,2017,1.21,37039853.8,13490545.5,10090861.46,648410.9,conventional
6/4/2017,Q2,2017,1.24,37352360.59,13248334.78,10157565.24,667066.51,conventional
6/28/2015,Q2,2015,1.64,659947.03,192182.13,332739.27,5956.87,organic
6/21/2015,Q2,2015,1.66,638192.89,202071.06,304368.47,6264.36,organic
6/14/2015,Q2,2015,1.68,646098.42,203021.68,278912.22,6901.71,organic
6/7/2015,Q2,2015,1.67,640448.59,200483.4,264482.87,6286.15,organic
6/26/2016,Q2,2016,1.5,1007378.78,171054.38,391129.07,6763.46,organic
6/19/2016,Q2,2016,1.45,1071066.66,166983.45,445194.49,12052.84,organic
6/12/2016,Q2,2016,1.45,975275.55,176286.36,403561.49,8626.89,organic
6/5/2016,Q2,2016,1.43,1012717.93,152105.91,410451.71,7817.11,organic
6/25/2017,Q2,2017,1.77,1101009.92,123317.1,341073.87,2613.51,organic
6/18/2017,Q2,2017,1.71,1304554.29,169434.58,442594.36,2140.13,organic
6/11/2017,Q2,2017,1.56,1397448.17,160841.97,339777.07,3623.46,organic
6/4/2017,Q2,2017,1.64,1352960.47,165665.93,387057.95,2865.59,organic
5/31/2015,Q2,2015,1.03,33720159.09,15503613.33,11599634.02,903908.35,conventional
5/24/2015,Q2,2015,1.04,35344183.15,16000107.8,12513821.19,899779.92,conventional
5/17/2015,Q2,2015,1.06,32027686.15,14615941.59,11003341.22,963549.53,conventional
5/10/2015,Q2,2015,1.02,36400886.58,16215328.75,13509064.65,858145.45,conventional
5/3/2015,Q2,2015,0.96,41291704.39,17787611.93,16602589.04,1118329.5,conventional
5/29/2016,Q2,2016,0.94,40019075.24,13682611.21,13829591.06,1583495.93,conventional
5/22/2016,Q2,2016,0.93,36958035.51,11711999.81,12981224.42,1640829.4,conventional
5/15/2016,Q2,2016,0.89,39914996.74,12447598.49,14437190.03,1753852.61,conventional
5/8/2016,Q2,2016,0.82,46324529.7,14223304.98,17896391.6,1993645.36,conventional
5/1/2016,Q2,2016,0.84,42867608.54,13748944.38,15899858.37,1414364.49,conventional
5/28/2017,Q2,2017,1.28,37030893.73,12841952.21,10932970.72,673384.78,conventional
5/21/2017,Q2,2017,1.26,34397651.15,12120948.7,10213231.95,621603.57,conventional
5/14/2017,Q2,2017,1.19,36634269.03,12807836.17,9717257.8,652973.26,conventional
5/7/2017,Q2,2017,1.09,47293921.6,17076650.82,13549102.59,863471.88,conventional
5/31/2015,Q2,2015,1.58,716942.71,205250.19,333300.63,6835.09,organic
5/24/2015,Q2,2015,1.59,714266.31,234692.14,293553.99,6911.26,organic
5/17/2015,Q2,2015,1.5,761972.65,246278.31,312193.09,22024.09,organic
5/10/2015,Q2,2015,1.42,861671.11,251602.18,349907.52,6213.47,organic
5/3/2015,Q2,2015,1.37,912681.57,323883.65,380650.64,8951.77,organic
5/29/2016,Q2,2016,1.41,1085152.56,137449.41,468311.32,13698.09,organic
5/22/2016,Q2,2016,1.36,1165715.01,166883.21,455336.56,15807.85,organic
5/15/2016,Q2,2016,1.45,1023252.17,146037.3,437584.52,8120.53,organic
5/8/2016,Q2,2016,1.3,1137940.78,132225.28,443777.31,26765.78,organic
5/1/2016,Q2,2016,1.28,1317867,238992.91,484383.87,22276.6,organic
5/28/2017,Q2,2017,1.69,1302205.55,163384.37,357431.2,3195.15,organic
5/21/2017,Q2,2017,1.71,1210560.61,166985.41,351498.5,4322.99,organic
5/14/2017,Q2,2017,1.55,1375125.12,164697.92,339920.6,4618.45,organic
5/7/2017,Q2,2017,1.57,1394126.23,172722.76,386288.18,4161.33,organic
4/26/2015,Q2,2015,1.07,30894157.8,13833715.28,10867403.08,889732.2,conventional
4/19/2015,Q2,2015,1.03,33091256.26,14251319.31,12277858.78,1016631.26,conventional
4/12/2015,Q2,2015,1.02,32046401.64,14793354.18,11210544.11,807942.41,conventional
4/5/2015,Q2,2015,1.06,31500669.44,13939014.43,11526980.36,871981.29,conventional
4/24/2016,Q2,2016,0.87,39607695.3,12913697.19,14382184.8,1599863.98,conventional
4/17/2016,Q2,2016,0.9,37467885.19,11954487.56,12896366.58,1896149.5,conventional
4/10/2016,Q2,2016,0.9,36584029.39,12879820.47,11538132.36,1666275.13,conventional
4/3/2016,Q2,2016,0.94,33668450.55,11320969.79,11512621.85,1731910.48,conventional
4/30/2017,Q2,2017,1.18,38315500.43,13316594.36,11291149.13,667996.83,conventional
4/23/2017,Q2,2017,1.18,35729013.92,12236713.41,10224484.11,613507.38,conventional
4/16/2017,Q2,2017,1.23,35182320.78,12311055.17,10069354.29,650017.26,conventional
4/9/2017,Q2,2017,1.21,34785712.55,12091315.22,10821096.24,647969.03,conventional
4/2/2017,Q2,2017,1.21,34468017.36,12245520.55,9733584.68,624709.69,conventional
4/26/2015,Q2,2015,1.45,872239.07,321733.2,379382.1,6150.07,organic
4/19/2015,Q2,2015,1.59,675907.97,215283.51,301783.5,6465.74,organic
4/12/2015,Q2,2015,1.53,810018.27,202491.27,428607.3,6179.48,organic
4/5/2015,Q2,2015,1.63,661842.02,197746.89,275595.72,6434.88,organic
4/24/2016,Q2,2016,1.25,1475457.53,225429.09,524511.95,8687.81,organic
4/17/2016,Q2,2016,1.38,1022217.32,115155.65,388081.34,7878.94,organic
4/10/2016,Q2,2016,1.26,1179603.03,108747.34,400281.85,12154.73,organic
4/3/2016,Q2,2016,1.44,930722.39,119283.9,371845.6,8628.68,organic
4/30/2017,Q2,2017,1.68,1248175.29,199039.61,421709.78,5187.46,organic
4/23/2017,Q2,2017,1.61,1190461.18,152604.41,347557.13,3245.62,organic
4/16/2017,Q2,2017,1.49,1493331.28,176684.11,437947.67,5096.43,organic
4/9/2017,Q2,2017,1.43,1387436.32,148803.12,362152.44,8972.11,organic
4/2/2017,Q2,2017,1.42,1492167.41,183101.86,430841.87,3767.76,organic
3/29/2015,Q1,2015,1.04,29982648.43,12524637.04,11541041.35,811272.88,conventional
3/22/2015,Q1,2015,1.01,32513550.51,13697405.61,12659784.83,1066385.92,conventional
3/15/2015,Q1,2015,1.04,29572225.71,13149988.71,10634070.76,871575.04,conventional
3/8/2015,Q1,2015,1.02,30094698.85,13013750.35,10973972.6,834009.15,conventional
3/1/2015,Q1,2015,0.97,32994014.16,13282222.98,13733124.48,1070576.07,conventional
3/27/2016,Q1,2016,0.94,35930195.92,11249198.4,12745266.73,1880231.38,conventional
3/20/2016,Q1,2016,0.93,36335483.78,11134390.98,13727453.57,1773088.87,conventional
3/13/2016,Q1,2016,0.93,36374516.14,11661687.44,13104887.66,1800065.57,conventional
3/6/2016,Q1,2016,0.95,35064506.04,11824154.63,12196587.24,1686475.33,conventional
3/26/2017,Q1,2017,1.24,32555119.32,11737559.6,9664310.82,611105.54,conventional
3/19/2017,Q1,2017,1.25,31595125.23,10975689.78,9622711.73,638217.85,conventional
3/12/2017,Q1,2017,1.22,32020573.94,11228357.23,9575227.17,727233.05,conventional
3/5/2017,Q1,2017,1.13,33684175.01,11335275.58,10807889.59,795173.2,conventional
3/25/2018,Q1,2018,1.03,43409835.75,14130799.1,12125711.42,758801.12,conventional
3/18/2018,Q1,2018,1.05,41386314.12,13707389.51,11061051.69,645380.85,conventional
3/11/2018,Q1,2018,1.09,40449603.12,14089091.05,10758039.45,707578.82,conventional
3/4/2018,Q1,2018,1.07,40741214.05,14439547.46,11289307.37,571747.72,conventional
3/29/2015,Q1,2015,1.6,674551.02,193273.88,324919.62,5794.39,organic
3/22/2015,Q1,2015,1.49,682640.03,237139.46,320353.82,5290.59,organic
3/15/2015,Q1,2015,1.5,644584.67,235569.01,258475.58,5308.79,organic
3/8/2015,Q1,2015,1.49,783913.05,253078.17,327972.28,5658.7,organic
3/1/2015,Q1,2015,1.4,814484.79,361996.84,275458.57,5556.02,organic
3/27/2016,Q1,2016,1.44,900644.79,112620.05,338194.18,7738.95,organic
3/20/2016,Q1,2016,1.27,1045450.41,105069.07,352698.21,9425.64,organic
3/13/2016,Q1,2016,1.29,1023655.87,132040.04,346341.46,6709.65,organic
3/6/2016,Q1,2016,1.28,1012415.85,127184.88,351951.65,5698.2,organic
3/26/2017,Q1,2017,1.29,1581127.36,160491.66,355541.13,3888.05,organic
3/19/2017,Q1,2017,1.5,1284018.65,172196.56,411359.03,3304.62,organic
3/12/2017,Q1,2017,1.38,1337596.89,152896.45,330081.75,3188.52,organic
3/5/2017,Q1,2017,1.16,1619398.24,184006.16,374220.48,2542.94,organic
3/25/2018,Q1,2018,1.55,1559967.2,121007.94,342853.1,1070.24,organic
3/18/2018,Q1,2018,1.54,1675804.22,170801.85,444949.69,1045.38,organic
3/11/2018,Q1,2018,1.52,1664234.88,129169.72,408763.5,1401.87,organic
3/4/2018,Q1,2018,1.52,1634430.77,142345.03,390129.5,1225.97,organic
2/22/2015,Q1,2015,1.02,29936729.76,12628562.36,11354281.64,937138.85,conventional
2/15/2015,Q1,2015,1.03,28012520.93,12626615.3,9783489.59,845653.52,conventional
2/8/2015,Q1,2015,0.95,32137333.01,13308193.4,13381347.54,737939.45,conventional
2/1/2015,Q1,2015,0.89,44655461.51,18933038.04,18956479.74,1381516.11,conventional
2/28/2016,Q1,2016,0.91,36801817.68,11907394.72,13210854.56,1560167.75,conventional
2/21/2016,Q1,2016,0.94,32804733.22,10015825.13,12003751.56,1375260.47,conventional
2/14/2016,Q1,2016,0.88,36476441.86,11913078.3,13187973.29,1811090.71,conventional
2/7/2016,Q1,2016,0.76,52288697.89,16573573.78,20470572.61,2546439.11,conventional
2/26/2017,Q1,2017,0.99,37007797.69,13173668.36,11398142.68,896761.77,conventional
2/19/2017,Q1,2017,0.99,33905854.58,11321732.4,10351148.2,832906.12,conventional
2/12/2017,Q1,2017,0.87,41077470.65,15051951.54,12184188.37,862322.15,conventional
2/5/2017,Q1,2017,0.77,61034457.1,22743616.17,20328161.55,1664383.09,conventional
2/25/2018,Q1,2018,1.06,40021528.76,13829857.87,10415463.59,724330.16,conventional
2/18/2018,Q1,2018,1.08,36709887.49,13262751.42,10491918.44,552969.73,conventional
2/11/2018,Q1,2018,0.97,43167806.09,15870677.7,11541844.87,652856.58,conventional
2/4/2018,Q1,2018,0.87,62505646.52,21620180.9,20445501.03,1066830.22,conventional
2/22/2015,Q1,2015,1.51,673446.69,272594.88,230342.87,4883.55,organic
2/15/2015,Q1,2015,1.58,616177,207650.64,228653.33,4950.01,organic
2/8/2015,Q1,2015,1.48,730874.31,215657.99,273897.84,5316.55,organic
2/1/2015,Q1,2015,1.36,740896.97,302561.47,259286.44,5852.28,organic
2/28/2016,Q1,2016,1.44,845011.63,110120.49,347488.78,10423.3,organic
2/21/2016,Q1,2016,1.45,738856.92,104135.94,281188.89,8629.03,organic
2/14/2016,Q1,2016,1.37,852463.31,102897.63,306235.69,6955.69,organic
2/7/2016,Q1,2016,1.44,758795.1,101408.79,290813.54,8028.75,organic
2/26/2017,Q1,2017,1.21,1436663.15,150448.17,368526.18,3747.77,organic
2/19/2017,Q1,2017,1.31,1634877.11,250591.21,632101.53,3295.09,organic
2/12/2017,Q1,2017,1.41,1060775.98,136636.34,297764.4,3486.2,organic
2/5/2017,Q1,2017,1.36,1015621.03,136100.39,314011.26,2238.78,organic
2/25/2018,Q1,2018,1.57,1459852.55,122912.97,340374.83,1063.32,organic
2/18/2018,Q1,2018,1.52,1814929.97,246515.35,680037.45,1905.46,organic
2/11/2018,Q1,2018,1.56,1317000.47,98465.26,270798.27,1839.8,organic
2/4/2018,Q1,2018,1.53,1384683.41,117922.52,287724.61,1703.52,organic
1/25/2015,Q1,2015,1.04,28470310.84,12167445.03,10734652.82,768020.05,conventional
1/18/2015,Q1,2015,1.03,29043458.85,11858139.34,11701947.8,831301.9,conventional
1/11/2015,Q1,2015,1.01,29063542.75,11544810.53,12134773.38,866574.66,conventional
1/4/2015,Q1,2015,0.95,31324277.73,12357161.34,13624083.05,844093.32,conventional
1/31/2016,Q1,2016,0.93,34721249.92,11098088.49,13278053.61,1643703.17,conventional
1/24/2016,Q1,2016,0.95,32787079.21,7020459,14054367.5,1440380.36,conventional
1/17/2016,Q1,2016,0.94,34426341.87,10036597.84,13832256.04,1419405.62,conventional
1/10/2016,Q1,2016,0.93,35264336.01,11441286.89,13226088.66,1282612.91,conventional
1/3/2016,Q1,2016,0.86,38142088.04,11616506.17,16054083.86,1560068.62,conventional
1/29/2017,Q1,2017,0.96,39373579.25,14034075.77,11683464.54,818727.02,conventional
1/22/2017,Q1,2017,0.94,42140393.39,14254150.46,14212881.66,908616.41,conventional
1/15/2017,Q1,2017,0.98,38295488.31,12936858.36,12625665.39,579346.52,conventional
1/8/2017,Q1,2017,0.99,38049802.62,11809727.7,13856934.7,539068.39,conventional
1/1/2017,Q1,2017,0.89,38879716.85,12707894.99,14201200.68,549844.57,conventional
1/28/2018,Q1,2018,1.09,40171640.84,14551799.5,12119884.61,575974.74,conventional
1/21/2018,Q1,2018,1.08,42939821.55,14218843.83,13929702.12,928815.12,conventional
1/14/2018,Q1,2018,1.2,37299945.22,12600918.24,11866197.84,652808.4,conventional
1/7/2018,Q1,2018,1.13,36703156.72,13730992.75,10781339.21,677714.86,conventional
1/25/2015,Q1,2015,1.53,556368.86,207494.87,212312.02,4753.87,organic
1/18/2015,Q1,2015,1.42,713120,254319.58,311811.01,4020.85,organic
