,Date,Quarter,Year,Market_id,AveragePrice,Total_vol,Small_vol,Large_vol,XLarge_vol,Type
83,12/18/2016,Q4,2016,4,1.02,64421.58,28725.38,2337.22,5562.76,conventional
84,12/11/2016,Q4,2016,4,0.8,98346.8,30311.25,10382.62,4088.1,conventional
85,12/4/2016,Q4,2016,4,1.01,72471.63,34194.72,2996.3,3771.85,conventional
86,12/31/2017,Q4,2017,4,1.13,79646.97,38196.44,1706.22,6263.0,conventional
87,12/24/2017,Q4,2017,4,1.18,71004.42,39116.52,2348.06,4750.61,conventional
88,12/17/2017,Q4,2017,4,1.29,65090.38,31969.34,1752.04,6655.62,conventional
89,12/10/2017,Q4,2017,4,1.08,85496.29,53165.53,1936.25,4746.44,conventional
90,12/3/2017,Q4,2017,4,1.14,86646.0,38662.0,1518.0,7094.0,conventional
91,12/27/2015,Q4,2015,4,0.91,2272.26,15.53,508.49,0.0,organic
92,12/20/2015,Q4,2015,4,1.17,1807.57,10.29,409.07,0.0,organic
93,12/13/2015,Q4,2015,4,0.87,4054.49,26.21,738.96,2.58,organic
94,12/6/2015,Q4,2015,4,1.36,1286.83,11.75,533.55,0.0,organic
95,12/25/2016,Q4,2016,4,0.77,6098.96,3.0,610.89,0.0,organic
96,12/18/2016,Q4,2016,4,1.14,2610.64,6.0,406.25,0.0,organic
97,12/11/2016,Q4,2016,4,1.52,1864.49,0.0,461.87,0.0,organic
98,12/4/2016,Q4,2016,4,1.48,2053.35,0.0,442.91,0.0,organic
99,12/31/2017,Q4,2017,4,1.72,2017.17,78.28,646.17,0.0,organic
100,12/24/2017,Q4,2017,4,1.44,3029.24,60.22,650.35,0.0,organic
101,12/17/2017,Q4,2017,4,1.79,1797.04,28.34,552.03,0.0,organic
102,12/10/2017,Q4,2017,4,1.76,2237.32,52.94,566.03,0.0,organic
103,12/3/2017,Q4,2017,4,1.77,1829.41,35.28,386.74,0.0,organic
104,12/27/2015,Q4,2015,5,1.13,450816.39,3886.27,346964.7,13952.56,conventional
105,12/20/2015,Q4,2015,5,1.07,489802.88,4912.37,390100.99,5887.72,conventional
106,12/13/2015,Q4,2015,5,1.01,549945.76,4641.02,455362.38,219.4,conventional
107,12/6/2015,Q4,2015,5,1.02,488679.31,5126.32,407520.22,142.99,conventional
108,12/25/2016,Q4,2016,5,1.28,447600.75,4349.63,346516.32,4183.69,conventional
109,12/18/2016,Q4,2016,5,1.09,579577.33,6123.84,488107.01,7765.43,conventional
110,12/11/2016,Q4,2016,5,1.22,510800.58,3711.2,409645.98,5052.84,conventional
111,12/4/2016,Q4,2016,5,1.26,473428.36,4371.95,393748.18,3449.16,conventional
112,12/31/2017,Q4,2017,5,1.4,419696.59,9622.52,325398.02,2061.91,conventional
113,12/24/2017,Q4,2017,5,1.45,414147.94,10726.67,312860.91,1638.5,conventional
114,12/17/2017,Q4,2017,5,1.28,516770.62,10139.25,413484.37,3836.18,conventional
115,12/10/2017,Q4,2017,5,1.14,687251.82,13210.49,557434.99,2169.35,conventional
116,12/3/2017,Q4,2017,5,1.4,488588.0,12171.0,386056.0,1901.0,conventional
117,12/27/2015,Q4,2015,5,1.48,7986.08,9.65,775.99,39.82,organic
118,12/20/2015,Q4,2015,5,1.41,7939.48,26.64,511.07,61.76,organic
119,12/13/2015,Q4,2015,5,1.55,8563.97,18.24,434.18,251.75,organic
120,12/6/2015,Q4,2015,5,1.29,8286.37,37.55,466.83,0.0,organic
121,12/25/2016,Q4,2016,5,1.98,11553.3,11.89,938.02,0.0,organic
122,12/18/2016,Q4,2016,5,2.0,11811.4,30.82,1065.46,1.24,organic
123,12/11/2016,Q4,2016,5,1.88,13714.62,22.64,1093.69,0.0,organic
124,12/4/2016,Q4,2016,5,2.0,13905.77,29.69,945.52,0.0,organic
125,12/31/2017,Q4,2017,5,1.86,25275.08,9.19,2796.62,0.0,organic
126,12/24/2017,Q4,2017,5,1.83,25639.14,29.37,1723.76,0.0,organic
127,12/17/2017,Q4,2017,5,1.82,24904.99,12.88,1538.66,0.0,organic
128,12/10/2017,Q4,2017,5,1.74,26314.71,14.46,1541.99,0.0,organic
129,12/3/2017,Q4,2017,5,1.88,21338.43,39.81,1355.4,0.0,organic
130,12/27/2015,Q4,2015,6,1.35,96233.08,1367.81,39542.83,85.76,conventional
131,12/20/2015,Q4,2015,6,1.37,90867.51,1164.92,38430.71,106.67,conventional
132,12/13/2015,Q4,2015,6,1.35,98473.23,1421.12,40783.22,66.45,conventional
133,12/6/2015,Q4,2015,6,1.23,108457.82,1737.71,58197.34,167.12,conventional
134,12/25/2016,Q4,2016,6,1.41,103035.45,1197.33,64434.59,42.09,conventional
135,12/18/2016,Q4,2016,6,1.36,85340.08,1276.16,52115.34,60.37,conventional
136,12/11/2016,Q4,2016,6,1.47,89037.86,967.77,62963.23,54.34,conventional
137,12/4/2016,Q4,2016,6,1.66,72203.16,960.31,54243.42,22.85,conventional
138,12/31/2017,Q4,2017,6,1.27,115508.29,5924.57,62632.07,25.0,conventional
139,12/24/2017,Q4,2017,6,1.28,127375.45,7430.89,72517.2,27.0,conventional
140,12/17/2017,Q4,2017,6,1.26,108352.42,7563.23,57326.4,39.68,conventional
141,12/10/2017,Q4,2017,6,1.25,127279.28,7934.47,63389.74,61.68,conventional
142,12/3/2017,Q4,2017,6,1.13,153282.0,7805.0,87461.0,42.0,conventional
143,12/27/2015,Q4,2015,6,1.47,5043.15,0.0,166.37,0.0,organic
144,12/20/2015,Q4,2015,6,1.5,5314.55,2.37,151.73,0.0,organic
145,12/13/2015,Q4,2015,6,1.45,4317.94,0.0,130.62,0.0,organic
146,12/6/2015,Q4,2015,6,1.57,2544.92,17.41,102.56,0.0,organic
147,12/25/2016,Q4,2016,6,1.51,1098.66,1.22,264.4,0.0,organic
148,12/18/2016,Q4,2016,6,1.52,1859.14,34.03,240.4,0.0,organic
149,12/11/2016,Q4,2016,6,1.81,3303.41,24.27,516.63,0.0,organic
150,12/4/2016,Q4,2016,6,1.88,3713.49,25.44,1091.53,0.0,organic
151,12/31/2017,Q4,2017,6,1.15,10568.46,176.5,82.85,0.0,organic
152,12/24/2017,Q4,2017,6,1.15,11025.86,233.3,65.48,0.0,organic
153,12/17/2017,Q4,2017,6,1.15,10784.73,196.04,131.48,0.0,organic
154,12/10/2017,Q4,2017,6,1.14,11143.68,198.52,70.96,0.0,organic
155,12/3/2017,Q4,2017,6,1.18,7575.49,101.72,39.09,0.0,organic
156,12/27/2015,Q4,2015,7,0.96,156698.24,33070.27,62956.24,23041.69,conventional
157,12/20/2015,Q4,2015,7,0.98,139917.89,29500.04,55520.58,19842.51,conventional
158,12/13/2015,Q4,2015,7,0.95,157146.19,31727.46,62544.19,23842.95,conventional
159,12/6/2015,Q4,2015,7,0.99,156114.08,34117.36,63074.74,28482.72,conventional
160,12/25/2016,Q4,2016,7,1.25,155793.03,36125.58,50792.48,7324.64,conventional
161,12/18/2016,Q4,2016,7,1.24,144634.01,35761.88,46276.63,7942.68,conventional
162,12/11/2016,Q4,2016,7,1.33,145815.04,43744.87,40971.14,8696.54,conventional
163,12/4/2016,Q4,2016,7,1.34,154742.81,39221.82,46285.9,9451.98,conventional
164,12/31/2017,Q4,2017,7,0.93,346356.5,60766.53,108930.41,6349.26,conventional
165,12/24/2017,Q4,2017,7,1.33,182537.83,53317.48,58732.18,3839.91,conventional
166,12/17/2017,Q4,2017,7,1.26,189529.04,58017.31,56564.52,3658.03,conventional
167,12/10/2017,Q4,2017,7,1.02,277528.93,58726.14,60515.61,4428.39,conventional
168,12/3/2017,Q4,2017,7,1.26,220837.0,58826.0,94262.0,4556.0,conventional
169,12/27/2015,Q4,2015,7,1.9,2948.39,389.52,1416.49,682.38,organic
170,12/20/2015,Q4,2015,7,1.9,2940.47,326.79,1462.14,604.87,organic
171,12/13/2015,Q4,2015,7,1.9,2720.17,321.35,1353.35,527.18,organic
172,12/6/2015,Q4,2015,7,1.95,2487.94,162.31,1278.07,577.56,organic
173,12/25/2016,Q4,2016,7,1.62,6780.63,74.49,2520.97,399.49,organic
174,12/18/2016,Q4,2016,7,1.59,7485.47,128.87,2824.38,517.67,organic
175,12/11/2016,Q4,2016,7,1.68,7154.49,132.06,2651.85,459.44,organic
176,12/4/2016,Q4,2016,7,1.99,5851.2,93.04,2472.52,346.29,organic
177,12/31/2017,Q4,2017,7,1.71,11939.07,34.71,5197.49,198.71,organic
178,12/24/2017,Q4,2017,7,1.83,9064.06,6.59,3987.42,214.4,organic
179,12/17/2017,Q4,2017,7,1.86,9678.6,1.2,4729.56,227.56,organic
180,12/10/2017,Q4,2017,7,1.91,10004.14,4.18,4292.94,202.41,organic
181,12/3/2017,Q4,2017,7,1.9,9558.48,20.01,4864.47,210.73,organic
182,12/27/2015,Q4,2015,8,0.93,661137.13,42799.0,445218.79,78378.25,conventional
183,12/20/2015,Q4,2015,8,0.91,690669.34,35724.99,464574.15,96306.3,conventional
184,12/13/2015,Q4,2015,8,1.07,668601.5,40380.09,451470.42,94162.53,conventional
185,12/6/2015,Q4,2015,8,1.14,664020.49,53173.18,455048.11,92888.37,conventional
186,12/25/2016,Q4,2016,8,1.22,616653.72,67145.99,352087.3,110167.01,conventional
187,12/18/2016,Q4,2016,8,1.18,631117.18,92760.23,363657.94,101491.49,conventional
188,12/11/2016,Q4,2016,8,1.09,734954.21,84616.3,449932.23,103932.55,conventional
189,12/4/2016,Q4,2016,8,1.27,624751.15,90157.63,372929.38,94496.12,conventional
190,12/31/2017,Q4,2017,8,0.93,1182647.5,144034.24,845964.7,120869.17,conventional
191,12/24/2017,Q4,2017,8,1.36,707646.11,83138.48,417905.67,116405.91,conventional
192,12/17/2017,Q4,2017,8,1.49,620053.78,113959.92,275986.91,99248.93,conventional
193,12/10/2017,Q4,2017,8,1.13,1021445.27,142085.83,277789.3,90891.04,conventional
194,12/3/2017,Q4,2017,8,1.56,654739.0,99971.0,378155.0,92092.0,conventional
195,12/27/2015,Q4,2015,8,1.58,20995.37,1064.71,19320.66,0.0,organic
196,12/20/2015,Q4,2015,8,1.58,22452.3,730.65,21574.99,0.0,organic
197,12/13/2015,Q4,2015,8,1.59,24059.71,876.48,23109.9,0.0,organic
198,12/6/2015,Q4,2015,8,1.59,27081.13,819.66,26104.8,0.0,organic
199,12/25/2016,Q4,2016,8,1.34,33412.35,52.77,30236.66,0.0,organic
200,12/18/2016,Q4,2016,8,1.34,40115.97,59.36,37133.28,0.0,organic
201,12/11/2016,Q4,2016,8,1.32,54112.89,63.34,50779.13,0.0,organic
202,12/4/2016,Q4,2016,8,1.71,35156.8,87.48,31941.41,0.0,organic
203,12/31/2017,Q4,2017,8,1.79,26040.03,142.0,16241.0,0.0,organic
204,12/24/2017,Q4,2017,8,1.81,32444.19,324.23,21629.94,0.0,organic
205,12/17/2017,Q4,2017,8,1.39,44435.16,946.46,21147.93,0.0,organic
206,12/10/2017,Q4,2017,8,1.65,40734.03,180.13,30865.75,0.0,organic
207,12/3/2017,Q4,2017,8,1.75,32233.21,21.79,24946.69,0.0,organic
208,12/27/2015,Q4,2015,9,0.87,162993.77,2633.37,100444.22,9546.88,conventional
209,12/20/2015,Q4,2015,9,0.85,175425.57,2732.05,108930.75,7517.01,conventional
210,12/13/2015,Q4,2015,9,0.79,207386.27,3802.6,123544.78,4574.03,conventional
211,12/6/2015,Q4,2015,9,0.83,207513.04,2914.81,129978.67,15475.56,conventional
212,12/25/2016,Q4,2016,9,0.82,276387.95,2168.67,102227.29,970.48,conventional
213,12/18/2016,Q4,2016,9,0.99,216881.3,2279.61,100542.31,1472.39,conventional
214,12/11/2016,Q4,2016,9,0.77,268166.21,2474.73,101664.01,753.56,conventional
215,12/4/2016,Q4,2016,9,0.7,356617.38,2443.73,132792.54,2845.22,conventional
216,12/31/2017,Q4,2017,9,0.86,278128.16,86072.67,43570.02,18071.02,conventional
217,12/24/2017,Q4,2017,9,1.36,159238.4,34443.54,41602.51,20559.93,conventional
218,12/17/2017,Q4,2017,9,1.3,169219.79,21459.6,53838.76,9956.49,conventional
219,12/10/2017,Q4,2017,9,1.16,234296.59,5977.05,88000.51,505.01,conventional
220,12/3/2017,Q4,2017,9,1.05,302992.0,5197.0,133150.0,1399.0,conventional
221,12/27/2015,Q4,2015,9,1.43,7088.36,249.94,5919.28,0.0,organic
222,12/20/2015,Q4,2015,9,1.47,7113.17,303.65,6449.34,0.0,organic
223,12/13/2015,Q4,2015,9,1.32,8699.18,307.35,6153.05,0.0,organic
224,12/6/2015,Q4,2015,9,1.48,8656.18,234.08,7004.43,0.0,organic
225,12/25/2016,Q4,2016,9,1.73,6592.44,235.03,5062.95,0.0,organic
226,12/18/2016,Q4,2016,9,0.82,17920.51,216.36,4930.87,0.0,organic
227,12/11/2016,Q4,2016,9,0.64,27489.35,268.89,4743.81,0.0,organic
228,12/4/2016,Q4,2016,9,1.07,15658.75,269.53,5925.9,0.0,organic
229,12/31/2017,Q4,2017,9,1.36,14495.2,483.32,4217.86,0.0,organic
230,12/24/2017,Q4,2017,9,1.73,13218.13,444.01,5455.3,0.0,organic
231,12/17/2017,Q4,2017,9,1.73,9465.99,371.48,4597.17,0.0,organic
232,12/10/2017,Q4,2017,9,1.69,8238.78,253.36,4171.8,0.0,organic
233,12/3/2017,Q4,2017,9,1.72,6856.14,184.1,3716.8,0.0,organic
234,12/27/2015,Q4,2015,10,0.99,107565.04,41808.54,27120.67,15564.05,conventional
235,12/20/2015,Q4,2015,10,1.03,117393.22,57557.75,23198.49,16370.5,conventional
236,12/13/2015,Q4,2015,10,1.03,124617.07,69742.59,21750.83,12957.84,conventional
237,12/6/2015,Q4,2015,10,0.99,137195.59,60376.23,33565.14,24435.11,conventional
238,12/25/2016,Q4,2016,10,1.07,136733.12,54284.13,24334.73,1538.2,conventional
239,12/18/2016,Q4,2016,10,1.06,131322.27,55604.5,31791.33,2522.96,conventional
240,12/11/2016,Q4,2016,10,0.98,144354.95,79158.83,19836.1,1302.46,conventional
241,12/4/2016,Q4,2016,10,0.84,237639.3,108397.57,42477.66,5532.03,conventional
242,12/31/2017,Q4,2017,10,0.8,221203.78,103506.03,30763.37,5224.82,conventional
243,12/24/2017,Q4,2017,10,1.06,140322.03,47451.51,20793.8,5024.24,conventional
244,12/17/2017,Q4,2017,10,1.03,162900.37,55232.97,32627.0,5344.74,conventional
245,12/10/2017,Q4,2017,10,1.1,149626.6,62869.74,18377.18,1247.67,conventional
246,12/3/2017,Q4,2017,10,0.99,194796.0,74697.0,45552.0,2801.0,conventional
247,12/27/2015,Q4,2015,10,1.53,2970.79,289.7,1781.31,0.0,organic
248,12/20/2015,Q4,2015,10,1.67,2002.61,242.01,1474.26,0.0,organic
249,12/13/2015,Q4,2015,10,1.59,2253.92,330.43,1469.69,0.0,organic
250,12/6/2015,Q4,2015,10,1.52,3535.8,469.17,2218.83,2.23,organic
251,12/25/2016,Q4,2016,10,1.75,4561.12,543.08,2287.13,0.0,organic
252,12/18/2016,Q4,2016,10,1.64,4249.07,504.97,1858.48,0.0,organic
253,12/11/2016,Q4,2016,10,1.02,8682.81,448.83,1413.59,0.0,organic
254,12/4/2016,Q4,2016,10,1.36,5338.71,485.75,1639.28,0.0,organic
255,12/31/2017,Q4,2017,10,1.14,15852.37,446.28,1042.43,0.0,organic
256,12/24/2017,Q4,2017,10,1.54,7093.59,348.31,1173.86,0.0,organic
257,12/17/2017,Q4,2017,10,1.56,6639.05,410.79,1349.75,1.15,organic
258,12/10/2017,Q4,2017,10,1.52,6603.57,423.48,1207.97,0.0,organic
259,12/3/2017,Q4,2017,10,1.54,6026.57,412.51,1265.18,0.0,organic
260,12/27/2015,Q4,2015,11,0.8,1020390.64,494425.64,276556.76,84912.97,conventional
261,12/20/2015,Q4,2015,11,0.82,928051.16,439792.68,257532.45,91158.34,conventional
262,12/13/2015,Q4,2015,11,0.79,980891.18,476178.99,319789.56,62436.8,conventional
263,12/6/2015,Q4,2015,11,0.74,1054849.97,514160.41,412692.22,8533.47,conventional
264,12/25/2016,Q4,2016,11,0.76,1199636.75,503168.52,313572.54,3069.14,conventional
265,12/18/2016,Q4,2016,11,0.69,1148251.0,571587.33,250532.87,2578.35,conventional
266,12/11/2016,Q4,2016,11,0.69,1121306.38,643580.23,188669.07,3182.11,conventional
267,12/4/2016,Q4,2016,11,0.69,1245471.58,714899.71,187180.3,3035.64,conventional
268,12/31/2017,Q4,2017,11,0.9,1116393.2,481105.48,307423.18,4818.24,conventional
269,12/24/2017,Q4,2017,11,0.99,1060456.59,565235.94,203334.65,4651.33,conventional
270,12/17/2017,Q4,2017,11,0.83,1084068.05,540252.14,217661.59,3860.93,conventional
271,12/10/2017,Q4,2017,11,0.75,1288280.85,637875.57,219736.68,4749.97,conventional
272,12/3/2017,Q4,2017,11,0.85,1199422.0,575766.0,258400.0,5217.0,conventional
273,12/27/2015,Q4,2015,11,1.33,10860.07,5921.12,421.38,0.0,organic
274,12/20/2015,Q4,2015,11,1.38,11128.3,5742.81,384.49,0.0,organic
275,12/13/2015,Q4,2015,11,1.43,12224.14,6036.65,389.17,0.0,organic
276,12/6/2015,Q4,2015,11,1.48,10458.62,5582.56,401.5,0.0,organic
277,12/25/2016,Q4,2016,11,1.12,20099.08,4747.3,428.15,0.0,organic
278,12/18/2016,Q4,2016,11,1.11,21071.85,5025.9,286.6,0.0,organic
279,12/11/2016,Q4,2016,11,1.14,20619.42,4812.83,204.45,0.0,organic
280,12/4/2016,Q4,2016,11,1.25,21047.85,6160.17,124.16,0.0,organic
281,12/31/2017,Q4,2017,11,1.48,21181.05,3745.98,326.83,0.0,organic
282,12/24/2017,Q4,2017,11,1.44,24924.27,4617.3,479.07,0.0,organic
283,12/17/2017,Q4,2017,11,1.41,20247.87,3363.72,338.36,0.0,organic
284,12/10/2017,Q4,2017,11,1.53,16639.95,3195.45,333.74,0.0,organic
285,12/3/2017,Q4,2017,11,1.66,18538.92,4177.1,330.35,0.0,organic
286,12/27/2015,Q4,2015,12,0.98,625475.1,93034.2,246747.13,19103.69,conventional
287,12/20/2015,Q4,2015,12,1.05,528944.54,113403.55,188263.2,24477.83,conventional
288,12/13/2015,Q4,2015,12,0.83,741702.5,96222.34,321764.32,29349.34,conventional
289,12/6/2015,Q4,2015,12,0.76,838225.19,111259.34,378124.28,8807.96,conventional
290,12/25/2016,Q4,2016,12,1.04,765511.4,123942.37,206365.38,15600.07,conventional
291,12/18/2016,Q4,2016,12,1.04,705750.83,116069.9,232182.6,10972.28,conventional
292,12/11/2016,Q4,2016,12,0.95,764135.24,110202.78,219903.74,11427.65,conventional
293,12/4/2016,Q4,2016,12,0.91,855989.02,129940.92,277374.59,11512.69,conventional
294,12/31/2017,Q4,2017,12,0.94,938481.85,127052.75,355322.2,8950.91,conventional
295,12/24/2017,Q4,2017,12,1.19,675592.64,142027.32,171218.36,11713.7,conventional
296,12/17/2017,Q4,2017,12,1.13,646736.55,157024.25,154962.46,12155.0,conventional
297,12/10/2017,Q4,2017,12,0.97,886841.87,150700.53,330683.28,7679.52,conventional
298,12/3/2017,Q4,2017,12,1.1,849840.0,149815.0,325073.0,9270.0,conventional
299,12/27/2015,Q4,2015,12,1.43,23728.62,9299.54,2853.98,12.14,organic
300,12/20/2015,Q4,2015,12,1.35,27173.38,9203.25,3262.41,4.42,organic
301,12/13/2015,Q4,2015,12,1.36,24285.79,7419.99,3155.41,3.32,organic
302,12/6/2015,Q4,2015,12,0.92,41324.9,3841.78,8059.68,33.27,organic
303,12/25/2016,Q4,2016,12,0.93,23425.81,5412.78,884.75,75.54,organic
304,12/18/2016,Q4,2016,12,1.47,14088.99,9935.96,1781.5,100.88,organic
305,12/11/2016,Q4,2016,12,0.98,34903.11,14092.31,1601.73,16.07,organic
306,12/4/2016,Q4,2016,12,0.85,45324.18,12165.52,1971.17,23.0,organic
307,12/31/2017,Q4,2017,12,1.48,17906.71,4400.94,482.72,12.67,organic
308,12/24/2017,Q4,2017,12,1.61,29466.81,6227.29,528.01,30.11,organic
309,12/17/2017,Q4,2017,12,1.46,34524.05,5039.43,435.39,42.84,organic
310,12/10/2017,Q4,2017,12,1.67,24471.73,4093.04,451.74,49.81,organic
311,12/3/2017,Q4,2017,12,1.79,23854.79,4565.3,367.5,16.23,organic
312,12/27/2015,Q4,2015,13,1.08,255499.7,83097.26,50545.78,59789.18,conventional
