Result,Location,Website,Products/Services,County
Green Acres Blueberry Farm,"Springhill, FL 34610",,,
"Green Acres Fernery, Blueberry and Peach Farm","Yalaha, FL 34797",Visit Website,,
Green Meadows Farm,"Monticello, FL 32344",Visit Website,,
Heather Oaks Farm,"Lady Lake, FL 32159",Visit Website,,
Henscratch Farms Vineyard and Winery,"Lake Placid, FL 33852",Visit Website,,
High Springs Orchard,"High Springs, FL 32643",Visit Website,,
Hilda's U-Pick Blueberries,"Madison, FL 32340",,,
Hilltop Peaches,"Clemont, FL 34715",Visit Website,,
Hunsader Farms,"Bradenton, FL 34211",Visit Website,,
Hydro Harvest Farms,"Ruskin, FL 33570",Visit Website,,
JG Ranch,"Brooksville, FL 34601",Visit Website,,
Jubilee Orchards,"Tallahassee, FL 32309",Visit Website,,
Jubilee Orchards,"Tallahassee, FL 32309",Visit Website,,
King Grove Organic Farm,"Eustis, FL 32736",Visit Website,,
Knaus Berry Farm,"Homestead, FL 33031",Visit Website,,
Lake Catherine Blueberries,"Groveland, FL 34736",Visit Website,,
Late Bloom Blueberry Farm,"Haines City, FL 33844",Visit Website,,
Lee Vineyards,"Dover, FL 33527",,,
Martinez Farms,"Ruskin, FL 33570",,,
Misty Meadows Blueberry Farm,"Inverness, FL 34453",Visit Website,,
Monticello Vineyards and Winery/Ladybird Organics,"Monticello, FL 32344",Visit Website,,
Myrtle Creek Farm,"Monticello, FL 32344",Visit Website,,
Northeast Florida’s Great Expectations U-Pick Vineyards,"Glen Saint Mary, FL 32040",,,
O'berry Nursery,"Jupiter, FL 33478",Visit Website,,
Oak Haven Farms and Winery,"Sorrento, FL 32776",,,
Oponay Farms LLC,"Lakeland, FL 33812",Visit Website,,
Owen's Blueberry Farm,"Hudson, FL 34669",Visit Website,,
Parke Hydro,"Dover, FL 33527",Visit Website,,
Paul and Sandra Murray Blueberries,"Jacksonville, FL 32218",,,
"Premium Peach, LLC","Saint Cloud, FL 34772",Visit Website,,
Raymond Cook,"Baker, FL 32531",,,
"Red, White and Blues Farm","Williston, FL 32696",Visit Website,,
Richard Lyons Nursery,"Miami, FL 33177",Visit Website,,
Ridge Island Groves,"Haines City, FL 33844",Visit Website,,
Rogers Farm,"Gainesville, FL 32653",Visit Website,,
Ron's Blueberries,"Palatka, FL 32177",Visit Website,,
Rooney's Front Porch Farm,"Live Oak, FL 32060",Visit Website,,
Russell Blueberry Farm,"Jacksonville, FL 32226",Visit Website,,
"Ryder Berries, LLC","Arcadia, FL 34266",Visit Website,,
Shadrick's U-Pick,"Pinetta, FL 32350",Visit Website,,
Shockley Springs Blueberry Farm,"Baker, FL 32531",Visit Website,,
Sicman's Hot Peppers and Powder,"Dade City, FL 33525",Visit Website,,
Snell's Berry Farm,"Homeland, FL 33847",Visit Website,,
South Moon Farms,"Hawthorne, FL 32640",Visit Website,,
Southern Hill Farms,"Clermont, FL 34714",Visit Website,Blueberries,
Spivey Farms,"Plant City, FL 33567",Visit Website,,
Spring Garden Vineyards,"De Leon Springs, FL 32130",Visit Website,,
Spring Hill Berry Farm,"DeFuniak Springs, FL 32433",,,
Strong Tower Vineyard,"Spring Hill, FL 34610",Visit Website,,
Sweetfields Farm,"Brooksville, FL 34604",Visit Website,,
Taylor Gardens Nursery Inc.,"Sparr, FL 32113",Visit Website,,
Thayer Berry Hill,"Dundee, FL 33838",Visit Website,,
The Girls Strawberry U-Pick,"Delray Beach, FL 33484",Visit Website,,
The Southern Peach Company,"Lithia, FL 33547",Visit Website,,
The Vintage Berry,"Groveland, FL 34736",Visit Website,,
The Wagon Farm,"Ocala, FL 34481",,,
Tison Blueberries,"Bonifay, FL 32425",Visit Website,,
Tranquility Hills Farm,"Lake Butler, FL 32054",,,
Tree-O Groves Inc.,"Lake Alfred, FL 33850",Visit Website,,
U Pick Citrus,"Ft Myers, FL 33193",Visit Website,,
V&B Farms LLC,"Doral, FL 33178",,,
Valley View Vineyard,"Howey-in-the-Hills, FL 34737",Visit Website,,
Walter Farms,"Bartow, FL 33830",,,
Wet Hammock Farm,"Citra, FL 32113",Visit Website,,
Wichmann Farms,"Melbourne, FL 32904",Visit Website,,
William's Blueberries,"Mims, FL 32754",Visit Website,,
Williams Blueberry Farm Jacksonville,"Jacksonville, FL 32221",,,
Wingate Creek Farms,"Myakka City, FL 34251",,,
