Result,Location,Website,Products/Services,County
Russell Blueberry Farm,"Palatka, FL 32177",Visit Website,,Sumter
"Ryder Berries, LLC","Pinetta, FL 32350",Visit Website,,Suwannee
Shadrick's U-Pick,"Plant City, FL 33566",Visit Website,,Suwannee
Shockley Springs Blueberry Farm,"Plant City, FL 33566",Visit Website,,Union
Sicman's Hot Peppers and Powder,"Plant City, FL 33567",Visit Website,,Volusia
Snell's Berry Farm,"Plant City, FL 33567",Visit Website,,Walton
South Moon Farms,"Riverview, FL 33569",Visit Website,,Washington
Southern Hill Farms,"Ruskin, FL 33570",Visit Website,Blueberries,
Spivey Farms,"Ruskin, FL 33570",Visit Website,,
Spring Garden Vineyards,"Ruskin, FL 33570",Visit Website,,
Spring Hill Berry Farm,"Saint Cloud, FL 34772",,,
Strong Tower Vineyard,"Sarasota, FL 34240",Visit Website,,
Sweetfields Farm,"Sorrento, FL 32776",Visit Website,,
Taylor Gardens Nursery Inc.,"Sparr, FL 32113",Visit Website,,
Thayer Berry Hill,"Spring Hill, FL 34610",Visit Website,,
The Girls Strawberry U-Pick,"Springhill, FL 34610",Visit Website,,
The Southern Peach Company,"St. Cloud, FL 34773",Visit Website,,
The Vintage Berry,"Tallahassee, FL 32309",Visit Website,,
The Wagon Farm,"Tallahassee, FL 32309",,,
Tison Blueberries,"Tavares, FL 32778",Visit Website,,
Tranquility Hills Farm,"Trenton, FL 32693",,,
Tree-O Groves Inc.,"Umatilla, FL 32784",Visit Website,,
U Pick Citrus,"Wacissa, FL 32344",Visit Website,,
V&B Farms LLC,"Waldo, FL 32694",,,
Valley View Vineyard,"White Springs, FL 32096",Visit Website,,
Walter Farms,"Williston, FL 32696",,,
Wet Hammock Farm,"Windermere, FL 34786",Visit Website,,
Wichmann Farms,"Winter Garden, FL 34787",Visit Website,,
William's Blueberries,"Yalaha, FL 34797",Visit Website,,
Williams Blueberry Farm Jacksonville,"Yalaha, FL 34797",,,
Wingate Creek Farms,"Yulee, FL 32097",,,
